date,close
2020-09-08,96.92
2020-09-09,99.62
2020-09-10,100.26
2020-09-11,99.42
2020-09-14,98.39
2020-09-15,98.88
2020-09-16,98.68
2020-09-17,99.41
2020-09-18,99.9
2020-09-21,99.85
2020-09-22,99.02
2020-09-23,97.55
2020-09-24,97.14
2020-09-25,97.99
2020-09-28,98.22
2020-09-29,97.03
2020-09-30,97.21
2020-10-01,97.61
2020-10-02,96.77
2020-10-05,96.94
2020-10-06,97.01
2020-10-07,95.93
2020-10-08,96.29
2020-10-09,96.85
2020-10-12,97.93
2020-10-13,98.99
2020-10-14,97.65
2020-10-15,96.76
2020-10-16,97.28
2020-10-19,97.8
2020-10-20,98.32
2020-10-21,102.21
2020-10-22,102.81
2020-10-23,104.01
2020-10-26,105.02
2020-10-27,105.73
2020-10-28,105.42
2020-10-29,106.25
2020-10-30,105.45
2020-11-02,105.22
2020-11-03,104.73
2020-11-04,104.84
2020-11-05,107.31
2020-11-06,105.35
2020-11-09,106.1
2020-11-10,104.42
2020-11-11,103.95
2020-11-12,105.11
2020-11-13,105.2
2020-11-16,104.09
2020-11-17,103.37
2020-11-18,104.1
2020-11-19,103.36
2020-11-20,103.6
2020-11-23,103.67
2020-11-24,103.02
2020-11-25,105.27
2020-11-26,105.96
2020-11-27,103.86
2020-11-30,104.07
2020-12-01,103.41
2020-12-02,104.31
2020-12-03,103.51
2020-12-04,103.41
2020-12-07,103.96
2020-12-08,104.88
2020-12-09,103.65
2020-12-10,103.33
2020-12-11,102.86
2020-12-14,102.21
2020-12-15,104.05
2020-12-16,104.49
2020-12-17,103.2
2020-12-18,104.18
2020-12-21,106.43
2020-12-22,107.56
2020-12-23,105.96
2020-12-24,105.47
2020-12-25,106.83
2020-12-28,106.1
2020-12-29,106.59
2020-12-30,107.44
2020-12-31,106.47
2021-01-01,106.43
2021-01-04,103.06
2021-01-05,102.03
2021-01-06,101.79
2021-01-07,100.55
2021-01-08,102.22
2021-01-11,100.79
2021-01-12,100.37
2021-01-13,100.52
2021-01-14,102.0
2021-01-15,100.57
2021-01-18,101.76
2021-01-19,101.8
2021-01-20,100.82
2021-01-21,101.31
2021-01-22,101.53
2021-01-25,100.94
2021-01-26,101.03
2021-01-27,100.67
2021-01-28,100.8
2021-01-29,101.49
2021-02-01,103.13
2021-02-02,101.88
2021-02-03,104.1
2021-02-04,102.11
2021-02-05,101.98
2021-02-08,102.6
2021-02-09,102.91
2021-02-10,102.29
2021-02-11,102.1
2021-02-12,101.61
2021-02-15,101.04
2021-02-16,101.92
2021-02-17,102.31
2021-02-18,101.62
2021-02-19,102.56
2021-02-22,102.89
2021-02-23,103.75
2021-02-24,104.43
2021-02-25,103.59
2021-02-26,103.03
2021-03-01,103.82
2021-03-02,104.48
2021-03-03,104.48
2021-03-04,104.62
2021-03-05,105.99
2021-03-08,105.39
2021-03-09,105.99
2021-03-10,105.79
2021-03-11,105.58
2021-03-12,106.77
2021-03-15,107.68
2021-03-16,108.58
2021-03-17,110.03
2021-03-18,110.07
2021-03-19,110.85
2021-03-22,110.53
2021-03-23,110.91
2021-03-24,110.79
2021-03-25,110.92
2021-03-26,111.6
2021-03-29,110.71
2021-03-30,113.08
2021-03-31,111.97
2021-04-01,110.64
2021-04-02,111.95
2021-04-05,112.86
2021-04-06,113.59
2021-04-07,114.33
2021-04-08,114.34
2021-04-09,113.34
2021-04-12,113.45
2021-04-13,112.71
2021-04-14,113.83
2021-04-15,113.69
2021-04-16,112.78
2021-04-19,112.44
2021-04-20,112.92
2021-04-21,112.31
2021-04-22,111.42
2021-04-23,111.71
2021-04-26,112.01
2021-04-27,111.46
2021-04-28,110.96
2021-04-29,111.24
2021-04-30,109.66
2021-05-03,108.15
2021-05-04,107.4
2021-05-05,107.19
2021-05-06,107.55
2021-05-07,109.17
2021-05-10,110.13
2021-05-11,109.98
2021-05-12,109.98
2021-05-13,108.9
2021-05-14,108.9
2021-05-17,108.61
2021-05-18,108.98
2021-05-19,108.11
2021-05-20,108.69
2021-05-21,110.39
2021-05-24,110.29
2021-05-25,110.76
2021-05-26,111.55
2021-05-27,111.13
2021-05-28,111.4
2021-05-31,111.43
2021-06-01,111.56
2021-06-02,110.73
2021-06-03,110.78
2021-06-04,111.35
2021-06-07,113.0
2021-06-08,114.11
2021-06-09,116.62
2021-06-10,115.75
2021-06-11,116.79
2021-06-14,117.03
2021-06-15,119.64
2021-06-16,118.7
2021-06-17,117.74
2021-06-18,117.06
2021-06-21,114.62
2021-06-22,114.04
2021-06-23,113.2
2021-06-24,113.39
2021-06-25,113.8
2021-06-28,115.98
2021-06-29,117.11
2021-06-30,116.46
2021-07-01,115.44
2021-07-02,116.04
2021-07-05,114.54
2021-07-06,116.68
2021-07-07,118.09
2021-07-08,117.56
2021-07-09,115.58
2021-07-12,117.18
2021-07-13,117.07
2021-07-14,118.55
2021-07-15,116.7
2021-07-16,116.03
2021-07-19,116.06
2021-07-20,116.13
2021-07-21,115.64
2021-07-22,116.38
2021-07-23,115.17
2021-07-26,115.03
2021-07-27,115.19
2021-07-28,115.81
2021-07-29,116.66
2021-07-30,115.38
2021-08-02,113.64
2021-08-03,115.13
2021-08-04,115.53
2021-08-05,114.69
2021-08-06,116.51
2021-08-09,116.67
2021-08-10,118.08
2021-08-11,118.18
2021-08-12,120.66
2021-08-13,122.83
2021-08-16,122.54
2021-08-17,123.77
2021-08-18,124.59
2021-08-19,126.33
2021-08-20,125.15
2021-08-23,126.03
2021-08-24,127.4
2021-08-25,125.2
2021-08-26,123.76
2021-08-27,121.28
2021-08-30,120.98
2021-08-31,121.87
2021-09-01,123.74
2021-09-02,123.86
2021-09-03,125.92
2021-09-06,124.22
2021-09-07,122.15
2021-09-08,122.1
2021-09-09,122.6
2021-09-10,122.58
2021-09-13,120.1
2021-09-14,120.01
2021-09-15,118.48
2021-09-16,119.3
2021-09-17,119.76
2021-09-20,118.67
2021-09-21,118.08
2021-09-22,116.86
2021-09-23,116.81
2021-09-24,117.96
2021-09-27,116.82
2021-09-28,117.44
2021-09-29,116.84
2021-09-30,115.94
2021-10-01,115.84
2021-10-04,114.67
2021-10-05,114.06
2021-10-06,112.72
2021-10-07,114.98
2021-10-08,115.05
2021-10-11,114.27
2021-10-12,114.53
2021-10-13,114.43
2021-10-14,114.2
2021-10-15,114.93
2021-10-18,115.82
2021-10-19,115.23
2021-10-20,114.59
2021-10-21,114.3
2021-10-22,111.72
2021-10-25,110.07
2021-10-26,111.6
2021-10-27,113.48
2021-10-28,113.22
2021-10-29,113.89
2021-11-01,114.27
2021-11-02,117.87
2021-11-03,119.22
2021-11-04,119.09
2021-11-05,117.98
2021-11-08,116.12
2021-11-09,116.38
2021-11-10,115.53
2021-11-11,113.92
2021-11-12,113.21
2021-11-15,112.01
2021-11-16,113.94
2021-11-17,114.98
2021-11-18,114.99
2021-11-19,116.73
2021-11-22,116.84
2021-11-23,115.86
2021-11-24,117.66
2021-11-25,118.32
2021-11-26,117.13
2021-11-29,116.93
2021-11-30,115.93
2021-12-01,114.36
2021-12-02,115.45
2021-12-03,117.7
2021-12-06,116.09
2021-12-07,116.76
